Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Abydos Facula,Ganymede,180.00,33.33,153.44,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian town where Osiris was worshipped.
Achelous,Ganymede,40.00,61.90,11.78,"Planetographic, +West, 0 - 360",Approved,1979,"Greek river god; father of Callirrhoe, Ganymede's mother."
Adad,Ganymede,39.00,57.43,358.02,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian god of thunder.
Adapa,Ganymede,57.00,73.08,31.32,"Planetographic, +West, 0 - 360",Approved,1979,"Assyro-Babylonian; lost immortality when, at Ea's advice, he refused food of life."
Agreus,Ganymede,63.00,15.87,232.70,"Planetographic, +West, 0 - 360",Approved,1985,Hunter god in Tyre.
Agrotes,Ganymede,74.00,60.93,192.62,"Planetographic, +West, 0 - 360",Approved,1985,Tyre; greatest god of Gebal; farmer god.
Akhmin Facula,Ganymede,245.00,28.30,189.80,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian town where Min was worshipped.
Akitu Sulcus,Ganymede,365.00,39.00,194.00,"Planetographic, +West, 0 - 360",Approved,1997,Where Marduk's statue was carried each year.
Aleyin,Ganymede,12.40,15.14,134.08,"Planetographic, +West, 0 - 360",Approved,1997,"Son of Ba'al, spirit of springs."
Ammura,Ganymede,61.50,31.76,342.35,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; god of the west.
Amon,Ganymede,102.00,33.69,220.61,"Planetographic, +West, 0 - 360",Approved,1985,Theban king of gods.
Amset,Ganymede,11.00,-14.41,178.75,"Planetographic, +West, 0 - 360",Approved,1997,"One of the four gods of the dead, son of Horus."
Anat,Ganymede,2.90,-4.10,128.00,"Planetographic, +West, 0 - 360",Approved,1985,Assyro-Babylonian goddess of dew.
Andjeti,Ganymede,52.00,-52.75,161.10,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian; first god of Busirus.
Anhur,Ganymede,25.00,32.63,192.32,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian warrior god.
Anshar Sulcus,Ganymede,1372.00,18.90,198.70,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; celestial-world home of Lakhmu and Lakhamu.
Antum,Ganymede,14.75,5.09,218.94,"Planetographic, +West, 0 - 360",Approved,1985,Babylonian; wife of Anu.
Anu,Ganymede,55.00,65.24,344.25,"Planetographic, +West, 0 - 360",Approved,1979,"Sumerian-Akkadian god of power, of heavens."
Anubis,Ganymede,114.00,-84.44,128.66,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian jackal-headed god who opened the underworld to the dead.
Anzu,Ganymede,210.00,63.51,62.73,"Planetographic, +West, 0 - 360",Approved,2000,"Gigantic lion-headed bird-like figure, the Sumerian Thunderbird."
Apophis,Ganymede,57.00,-8.12,276.16,"Planetographic, +West, 0 - 360",Approved,2000,Egyptian gigantic serpent symbolizing chaos or nonexistence.
Apsu Sulci,Ganymede,1950.00,-37.50,225.20,"Planetographic, +West, 0 - 360",Approved,1979,Sumero-Akkadian; primordial ocean.
Aquarius Sulcus,Ganymede,1420.00,52.40,4.00,"Planetographic, +West, 0 - 360",Approved,1979,"Greek; Zeus set Ganymede among the stars as the constellation of Aquarius, the water carrier."
Arbela Sulcus,Ganymede,3850.00,-34.00,4.00,"Planetographic, +West, 0 - 360",Approved,1985,Assyrian town where Ishtar was worshipped.
Ashîma,Ganymede,84.00,-39.05,122.98,"Planetographic, +West, 0 - 360",Approved,1985,Semitic-Arab god of fate.
Asshur,Ganymede,25.50,54.16,333.48,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian warrior god.
Atra-hasis,Ganymede,133.00,22.54,254.11,"Planetographic, +West, 0 - 360",Approved,2000,"Exceedingly wise' hero of Akkadian myth, survived the great flood."
Aya,Ganymede,38.00,68.34,322.02,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; wife of Shamash.
Ba'al,Ganymede,43.00,24.92,329.97,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; Canaanite god.
Babylon Sulci,Ganymede,3100.00,-22.50,95.50,"Planetographic, +West, 0 - 360",Approved,"Jul 29, 2013",Assyro-Babylonian town in the land known as Akkad.
Barnard Regio,Ganymede,3200.00,-6.80,11.60,"Planetographic, +West, 0 - 360",Approved,1979,Edward E.; American astronomer (1857-1923).
Bau,Ganymede,77.00,23.05,48.67,"Planetographic, +West, 0 - 360",Approved,1988,Goddess who breathed into men the breath of life; daughter of Anu and patroness of Lagash.
Bes,Ganymede,63.00,-25.48,180.96,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian god of marriage.
Bigeh Facula,Ganymede,224.00,29.00,94.30,"Planetographic, +West, 0 - 360",Approved,2000,"Island where Hapi, Egyptian Nile god, resided."
Borsippa Sulcus,Ganymede,3300.00,-60.00,0.00,"Planetographic, +West, 0 - 360",Approved,"Jul 29, 2013","Akkadian town, location of the Sumerian god Nabu's principal sanctuary."
Bubastis Sulci,Ganymede,2730.00,-81.00,225.00,"Planetographic, +West, 0 - 360",Approved,1988,Town in Egypt where Bast was worshipped.
Busiris Facula,Ganymede,369.00,16.00,215.30,"Planetographic, +West, 0 - 360",Approved,1985,Town in lower Egypt where Osiris was first installed as local god.
